"","Year","Name","Movie","Award","Win"
"944","1966","George Segal","Who's Afraid of Virginia Woolf?","Supporting Actor","Lost"
"945","1966","Robert Shaw","A Man for All Seasons","Supporting Actor","Lost"
"946","1967","George Kennedy","Cool Hand Luke","Supporting Actor","Won"
"947","1967","John Cassavetes","The Dirty Dozen","Supporting Actor","Lost"
"948","1967","Gene Hackman","Bonnie and Clyde","Supporting Actor","Lost"
"949","1967","Cecil Kellaway","Guess Who's Coming to Dinner","Supporting Actor","Lost"
"950","1967","Michael J. Pollard","Bonnie and Clyde","Supporting Actor","Lost"
"951","1968","Jack Albertson","The Subject Was Roses","Supporting Actor","Won"
"952","1968","Seymour Cassel","Faces","Supporting Actor","Lost"
"953","1968","Daniel Massey","Star!","Supporting Actor","Lost"
"954","1968","Jack Wild","Oliver!","Supporting Actor","Lost"
"955","1968","Gene Wilder","The Producers","Supporting Actor","Lost"
"956","1969","Gig Young","They Shoot Horses, Don't They?","Supporting Actor","Won"
"957","1969","Rupert Crosse","The Reivers","Supporting Actor","Lost"
"958","1969","Elliott Gould","Bob & Carol & Ted & Alice","Supporting Actor","Lost"
"959","1969","Jack Nicholson","Easy Rider","Supporting Actor","Lost"
"960","1969","Anthony Quayle","Anne of the Thousand Days","Supporting Actor","Lost"
"961","1970","John Mills","Ryan's Daughter","Supporting Actor","Won"
"962","1970","Richard S. Castellano","Lovers and Other Strangers","Supporting Actor","Lost"
"963","1970","Chief Dan George","Little Big Man","Supporting Actor","Lost"
"964","1970","Gene Hackman","I Never Sang for My Father","Supporting Actor","Lost"
"965","1970","John Marley","Love Story","Supporting Actor","Lost"
"966","1971","Ben Johnson","The Last Picture Show","Supporting Actor","Won"
"967","1971","Jeff Bridges","The Last Picture Show","Supporting Actor","Lost"
"968","1971","Leonard Frey","Fiddler on the Roof","Supporting Actor","Lost"
"969","1971","Richard Jaeckel","Sometimes a Great Notion","Supporting Actor","Lost"
"970","1971","Roy Scheider","The French Connection","Supporting Actor","Lost"
"971","1972","Joel Grey","Cabaret","Supporting Actor","Won"
"972","1972","Eddie Albert","The Heartbreak Kid","Supporting Actor","Lost"
"973","1972","James Caan","The Godfather","Supporting Actor","Lost"
"974","1972","Robert Duvall","The Godfather","Supporting Actor","Lost"
"975","1972","Al Pacino","The Godfather","Supporting Actor","Lost"
"976","1973","John Houseman","The Paper Chase","Supporting Actor","Won"
"977","1973","Vincent Gardenia","Bang the Drum Slowly","Supporting Actor","Lost"
"978","1973","Jack Gilford","Save the Tiger","Supporting Actor","Lost"
"979","1973","Jason Miller","The Exorcist","Supporting Actor","Lost"
"980","1973","Randy Quaid","The Last Detail","Supporting Actor","Lost"
"981","1974","Robert De Niro","The Godfather Part II","Supporting Actor","Won"
"982","1974","Fred Astaire","The Towering Inferno","Supporting Actor","Lost"
"983","1974","Jeff Bridges","Thunderbolt and Lightfoot","Supporting Actor","Lost"
"984","1974","Michael V. Gazzo","The Godfather Part II","Supporting Actor","Lost"
"985","1974","Lee Strasberg","The Godfather Part II","Supporting Actor","Lost"
"986","1975","George Burns","The Sunshine Boys","Supporting Actor","Won"
"987","1975","Brad Dourif","One Flew Over the Cuckoo's Nest","Supporting Actor","Lost"
"988","1975","Burgess Meredith","The Day of the Locust","Supporting Actor","Lost"
"989","1975","Chris Sarandon","Dog Day Afternoon","Supporting Actor","Lost"
"990","1975","Jack Warden","Shampoo","Supporting Actor","Lost"
"991","1976","Jason Robards","All the President's Men","Supporting Actor","Won"
"992","1976","Ned Beatty","Network","Supporting Actor","Lost"
"993","1976","Burgess Meredith","Rocky","Supporting Actor","Lost"
"994","1976","Laurence Olivier","Marathon Man","Supporting Actor","Lost"
"995","1976","Burt Young","Rocky","Supporting Actor","Lost"
"996","1977","Jason Robards","Julia","Supporting Actor","Won"
"997","1977","Mikhail Baryshnikov","The Turning Point","Supporting Actor","Lost"
"998","1977","Peter Firth","Equus","Supporting Actor","Lost"
"999","1977","Alec Guinness","Star Wars","Supporting Actor","Lost"
"1000","1977","Maximilian Schell","Julia","Supporting Actor","Lost"
"1001","1978","Christopher Walken","The Deer Hunter","Supporting Actor","Won"
"1002","1978","Bruce Dern","Coming Home","Supporting Actor","Lost"
"1003","1978","Richard Farnsworth","Comes a Horseman","Supporting Actor","Lost"
"1004","1978","John Hurt","Midnight Express","Supporting Actor","Lost"
"1005","1978","Jack Warden","Heaven Can Wait","Supporting Actor","Lost"
"1006","1979","Melvyn Douglas","Being There","Supporting Actor","Won"
"1007","1979","Robert Duvall","Apocalypse Now","Supporting Actor","Lost"
"1008","1979","Frederic Forrest","The Rose","Supporting Actor","Lost"
"1009","1979","Justin Henry","Kramer vs. Kramer","Supporting Actor","Lost"
"1010","1979","Mickey Rooney","The Black Stallion","Supporting Actor","Lost"
"1011","1980","Timothy Hutton","Ordinary People","Supporting Actor","Won"
"1012","1980","Judd Hirsch","Ordinary People","Supporting Actor","Lost"
"1013","1980","Michael O'Keefe","The Great Santini","Supporting Actor","Lost"
"1014","1980","Joe Pesci","Raging Bull","Supporting Actor","Lost"
"1015","1980","Jason Robards","Melvin and Howard","Supporting Actor","Lost"
"1016","1981","John Gielgud","Arthur","Supporting Actor","Won"
"1017","1981","James Coco","Only When I Laugh","Supporting Actor","Lost"
"1018","1981","Ian Holm","Chariots of Fire","Supporting Actor","Lost"
"1019","1981","Jack Nicholson","Reds","Supporting Actor","Lost"
"1020","1981","Howard Rollins","Ragtime","Supporting Actor","Lost"
"1021","1982","Louis Gossett, Jr.","An Officer and a Gentleman","Supporting Actor","Won"
"1022","1982","Charles Durning","The Best Little Whorehouse in Texas","Supporting Actor","Lost"
"1023","1982","John Lithgow","The World According to Garp","Supporting Actor","Lost"
"1024","1982","James Mason","The Verdict","Supporting Actor","Lost"
"1025","1982","Robert Preston","Victor Victoria","Supporting Actor","Lost"
"1026","1983","Jack Nicholson","Terms of Endearment","Supporting Actor","Won"
"1027","1983","Charles Durning","To Be or Not to Be","Supporting Actor","Lost"
"1028","1983","John Lithgow","Terms of Endearment","Supporting Actor","Lost"
"1029","1983","Sam Shepard","The Right Stuff","Supporting Actor","Lost"
"1030","1983","Rip Torn","Cross Creek","Supporting Actor","Lost"
"1031","1984","Haing S. Ngor","The Killing Fields","Supporting Actor","Won"
"1032","1984","Adolph Caesar","A Soldier's Story","Supporting Actor","Lost"
"1033","1984","John Malkovich","Places in the Heart","Supporting Actor","Lost"
"1034","1984","Pat Morita","The Karate Kid","Supporting Actor","Lost"
"1035","1984","Ralph Richardson*[58]","Greystoke: The Legend of Tarzan, Lord of the Apes","Supporting Actor","Lost"
"1036","1985","Don Ameche","Cocoon","Supporting Actor","Won"
"1037","1985","Klaus Maria Brandauer","Out of Africa","Supporting Actor","Lost"
"1038","1985","William Hickey","Prizzi's Honor","Supporting Actor","Lost"
"1039","1985","Robert Loggia","Jagged Edge","Supporting Actor","Lost"
"1040","1985","Eric Roberts","Runaway Train","Supporting Actor","Lost"
"1041","1986","Michael Caine","Hannah and Her Sisters","Supporting Actor","Won"
"1042","1986","Tom Berenger","Platoon","Supporting Actor","Lost"
"1043","1986","Willem Dafoe","Platoon","Supporting Actor","Lost"
"1044","1986","Denholm Elliott","A Room with a View","Supporting Actor","Lost"
"1045","1986","Dennis Hopper","Hoosiers","Supporting Actor","Lost"
"1046","1987","Sean Connery","The Untouchables","Supporting Actor","Won"
"1047","1987","Albert Brooks","Broadcast News","Supporting Actor","Lost"
"1048","1987","Morgan Freeman","Street Smart","Supporting Actor","Lost"
"1049","1987","Vincent Gardenia","Moonstruck","Supporting Actor","Lost"
"1050","1987","Denzel Washington","Cry Freedom","Supporting Actor","Lost"
"1051","1988","Kevin Kline","A Fish Called Wanda","Supporting Actor","Won"
"1052","1988","Alec Guinness","Little Dorrit","Supporting Actor","Lost"
"1053","1988","Martin Landau","Tucker: The Man and His Dream","Supporting Actor","Lost"
"1054","1988","River Phoenix","Running on Empty","Supporting Actor","Lost"
"1055","1988","Dean Stockwell","Married to the Mob","Supporting Actor","Lost"
"1056","1989","Denzel Washington","Glory","Supporting Actor","Won"
"1057","1989","Danny Aiello","Do the Right Thing","Supporting Actor","Lost"
"1058","1989","Dan Aykroyd","Driving Miss Daisy","Supporting Actor","Lost"
"1059","1989","Marlon Brando","A Dry White Season","Supporting Actor","Lost"
"1060","1989","Martin Landau","Crimes and Misdemeanors","Supporting Actor","Lost"
"1061","1990","Joe Pesci","Goodfellas","Supporting Actor","Won"
"1062","1990","Bruce Davison","Longtime Companion","Supporting Actor","Lost"
"1063","1990","Andy García","The Godfather Part III","Supporting Actor","Lost"
"1064","1990","Graham Greene","Dances with Wolves","Supporting Actor","Lost"
"1065","1990","Al Pacino","Dick Tracy","Supporting Actor","Lost"
"1066","1991","Jack Palance","City Slickers","Supporting Actor","Won"
"1067","1991","Tommy Lee Jones","JFK","Supporting Actor","Lost"
"1068","1991","Harvey Keitel","Bugsy","Supporting Actor","Lost"
"1069","1991","Ben Kingsley","Bugsy","Supporting Actor","Lost"
"1070","1991","Michael Lerner","Barton Fink","Supporting Actor","Lost"
"1071","1992","Gene Hackman","Unforgiven","Supporting Actor","Won"
"1072","1992","Jaye Davidson","The Crying Game","Supporting Actor","Lost"
"1073","1992","Jack Nicholson","A Few Good Men","Supporting Actor","Lost"
"1074","1992","Al Pacino","Glengarry Glen Ross","Supporting Actor","Lost"
"1075","1992","David Paymer","Mr. Saturday Night","Supporting Actor","Lost"
"1076","1993","Tommy Lee Jones","The Fugitive","Supporting Actor","Won"
"1077","1993","Leonardo DiCaprio","What's Eating Gilbert Grape","Supporting Actor","Lost"
"1078","1993","Ralph Fiennes","Schindler's List","Supporting Actor","Lost"
"1079","1993","John Malkovich","In the Line of Fire","Supporting Actor","Lost"
"1080","1993","Pete Postlethwaite","In the Name of the Father","Supporting Actor","Lost"
"1081","1994","Martin Landau","Ed Wood","Supporting Actor","Won"
"1082","1994","Samuel L. Jackson","Pulp Fiction","Supporting Actor","Lost"
"1083","1994","Chazz Palminteri","Bullets over Broadway","Supporting Actor","Lost"
"1084","1994","Paul Scofield","Quiz Show","Supporting Actor","Lost"
"1085","1994","Gary Sinise","Forrest Gump","Supporting Actor","Lost"
"1086","1995","Kevin Spacey","The Usual Suspects","Supporting Actor","Won"
"1087","1995","James Cromwell","Babe","Supporting Actor","Lost"
"1088","1995","Ed Harris","Apollo 13","Supporting Actor","Lost"
"1089","1995","Brad Pitt","12 Monkeys","Supporting Actor","Lost"
"1090","1995","Tim Roth","Rob Roy","Supporting Actor","Lost"
"1091","1996","Cuba Gooding Jr.","Jerry Maguire","Supporting Actor","Won"
"1092","1996","William H. Macy","Fargo","Supporting Actor","Lost"
"1093","1996","Armin Mueller-Stahl","Shine","Supporting Actor","Lost"
"1094","1996","Edward Norton","Primal Fear","Supporting Actor","Lost"
"1095","1996","James Woods","Ghosts of Mississippi","Supporting Actor","Lost"
"1096","1997","Robin Williams","Good Will Hunting","Supporting Actor","Won"
"1097","1997","Robert Forster","Jackie Brown","Supporting Actor","Lost"
"1098","1997","Anthony Hopkins","Amistad","Supporting Actor","Lost"
"1099","1997","Greg Kinnear","As Good as It Gets","Supporting Actor","Lost"
"1100","1997","Burt Reynolds","Boogie Nights","Supporting Actor","Lost"
"1101","1998","James Coburn","Affliction","Supporting Actor","Won"
"1102","1998","Robert Duvall","A Civil Action","Supporting Actor","Lost"
"1103","1998","Ed Harris","The Truman Show","Supporting Actor","Lost"
"1104","1998","Geoffrey Rush","Shakespeare in Love","Supporting Actor","Lost"
"1105","1998","Billy Bob Thornton","A Simple Plan","Supporting Actor","Lost"
"1106","1999","Michael Caine","The Cider House Rules","Supporting Actor","Won"
"1107","1999","Tom Cruise","Magnolia","Supporting Actor","Lost"
"1108","1999","Michael Clarke Duncan","The Green Mile","Supporting Actor","Lost"
"1109","1999","Jude Law","The Talented Mr. Ripley","Supporting Actor","Lost"
"1110","1999","Haley Joel Osment","The Sixth Sense","Supporting Actor","Lost"
"1111","2000","Benicio del Toro","Traffic","Supporting Actor","Won"
"1112","2000","Jeff Bridges","The Contender","Supporting Actor","Lost"
"1113","2000","Willem Dafoe","Shadow of the Vampire","Supporting Actor","Lost"
"1114","2000","Albert Finney","Erin Brockovich","Supporting Actor","Lost"
"1115","2000","Joaquin Phoenix","Gladiator","Supporting Actor","Lost"
"1116","2001","Jim Broadbent","Iris","Supporting Actor","Won"
"1117","2001","Ethan Hawke","Training Day","Supporting Actor","Lost"
"1118","2001","Ben Kingsley","Sexy Beast","Supporting Actor","Lost"
"1119","2001","Ian McKellen","The Lord of the Rings: The Fellowship of the Ring","Supporting Actor","Lost"
"1120","2001","Jon Voight","Ali","Supporting Actor","Lost"
"1121","2002","Chris Cooper","Adaptation","Supporting Actor","Won"
"1122","2002","Ed Harris","The Hours","Supporting Actor","Lost"
"1123","2002","Paul Newman","Road to Perdition","Supporting Actor","Lost"
"1124","2002","John C. Reilly","Chicago","Supporting Actor","Lost"
"1125","2002","Christopher Walken","Catch Me If You Can","Supporting Actor","Lost"
"1126","2003","Tim Robbins","Mystic River","Supporting Actor","Won"
"1127","2003","Alec Baldwin","The Cooler","Supporting Actor","Lost"
"1128","2003","Benicio del Toro","21 Grams","Supporting Actor","Lost"
"1129","2003","Djimon Hounsou","In America","Supporting Actor","Lost"
"1130","2003","Ken Watanabe","The Last Samurai","Supporting Actor","Lost"
"1131","2004","Morgan Freeman","Million Dollar Baby","Supporting Actor","Won"
"1132","2004","Alan Alda","The Aviator","Supporting Actor","Lost"
"1133","2004","Thomas Haden Church","Sideways","Supporting Actor","Lost"
"1134","2004","Jamie Foxx","Collateral","Supporting Actor","Lost"
"1135","2004","Clive Owen","Closer","Supporting Actor","Lost"
"1136","2005","George Clooney","Syriana","Supporting Actor","Won"
"1137","2005","Matt Dillon","Crash","Supporting Actor","Lost"
"1138","2005","Paul Giamatti","Cinderella Man","Supporting Actor","Lost"
"1139","2005","Jake Gyllenhaal","Brokeback Mountain","Supporting Actor","Lost"
"1140","2005","William Hurt","A History of Violence","Supporting Actor","Lost"
"1141","2006","Alan Arkin","Little Miss Sunshine","Supporting Actor","Won"
"1142","2006","Jackie Earle Haley","Little Children","Supporting Actor","Lost"
"1143","2006","Djimon Hounsou","Blood Diamond","Supporting Actor","Lost"
"1144","2006","Eddie Murphy","Dreamgirls","Supporting Actor","Lost"
"1145","2006","Mark Wahlberg","The Departed","Supporting Actor","Lost"
"1146","2007","Javier Bardem","No Country for Old Men","Supporting Actor","Won"
"1147","2007","Casey Affleck","The Assassination of Jesse James by the Coward Robert Ford","Supporting Actor","Lost"
"1148","2007","Philip Seymour Hoffman","Charlie Wilson's War","Supporting Actor","Lost"
"1149","2007","Hal Holbrook","Into the Wild","Supporting Actor","Lost"
"1150","2007","Tom Wilkinson","Michael Clayton","Supporting Actor","Lost"
"1151","2008","Heath Ledger^[8]","The Dark Knight","Supporting Actor","Won"
"1152","2008","Josh Brolin","Milk","Supporting Actor","Lost"
"1153","2008","Robert Downey, Jr.","Tropic Thunder","Supporting Actor","Lost"
"1154","2008","Philip Seymour Hoffman","Doubt","Supporting Actor","Lost"
"1155","2008","Michael Shannon","Revolutionary Road","Supporting Actor","Lost"
"1156","2009","Christoph Waltz","Inglourious Basterds","Supporting Actor","Won"
"1157","2009","Matt Damon","Invictus","Supporting Actor","Lost"
"1158","2009","Woody Harrelson","The Messenger","Supporting Actor","Lost"
"1159","2009","Christopher Plummer","The Last Station","Supporting Actor","Lost"
"1160","2009","Stanley Tucci","The Lovely Bones","Supporting Actor","Lost"
"1161","2010","Christian Bale","The Fighter","Supporting Actor","Won"
"1162","2010","John Hawkes","Winter's Bone","Supporting Actor","Lost"
"1163","2010","Jeremy Renner","The Town","Supporting Actor","Lost"
"1164","2010","Mark Ruffalo","The Kids Are All Right","Supporting Actor","Lost"
"1165","2010","Geoffrey Rush","The King's Speech","Supporting Actor","Lost"
"1166","2011","Christopher Plummer","Beginners","Supporting Actor","Won"
"1167","2011","Kenneth Branagh","My Week with Marilyn","Supporting Actor","Lost"
"1168","2011","Jonah Hill","Moneyball","Supporting Actor","Lost"
"1169","2011","Nick Nolte","Warrior","Supporting Actor","Lost"
"1170","2011","Max von Sydow","Extremely Loud and Incredibly Close","Supporting Actor","Lost"
"1171","2012","Christoph Waltz","Django Unchained","Supporting Actor","Won"
"1172","2012","Alan Arkin","Argo","Supporting Actor","Lost"
"1173","2012","Robert De Niro","Silver Linings Playbook","Supporting Actor","Lost"
"1174","2012","Philip Seymour Hoffman","The Master","Supporting Actor","Lost"
"1175","2012","Tommy Lee Jones","Lincoln","Supporting Actor","Lost"
"1176","2013","Jared Leto","Dallas Buyers Club","Supporting Actor","Won"
"1177","2013","Barkhad Abdi","Captain Phillips","Supporting Actor","Lost"
"1178","2013","Bradley Cooper","American Hustle","Supporting Actor","Lost"
"1179","2013","Michael Fassbender","12 Years a Slave","Supporting Actor","Lost"
"1180","2013","Jonah Hill","The Wolf of Wall Street","Supporting Actor","Lost"
"1181","2014","J. K. Simmons","Whiplash","Supporting Actor","Won"
"1182","2014","Robert Duvall","The Judge","Supporting Actor","Lost"
"1183","2014","Ethan Hawke","Boyhood","Supporting Actor","Lost"
"1184","2014","Edward Norton","Birdman or (The Unexpected Virtue of Ignorance)","Supporting Actor","Lost"
"1185","2014","Mark Ruffalo","Foxcatcher","Supporting Actor","Lost"
"1186","1936","Gale Sondergaard","Anthony Adverse","Supporting Actress","Won"
"1187","1936","Beulah Bondi","The Gorgeous Hussy","Supporting Actress","Lost"
"1188","1936","Alice Brady","My Man Godfrey","Supporting Actress","Lost"
"1189","1936","Bonita Granville","These Three","Supporting Actress","Lost"
"1190","1936","Maria Ouspenskaya","Dodsworth","Supporting Actress","Lost"
"1191","1937","Alice Brady","In Old Chicago","Supporting Actress","Won"
"1192","1937","Andrea Leeds","Stage Door","Supporting Actress","Lost"
"1193","1937","Anne Shirley","Stella Dallas","Supporting Actress","Lost"
"1194","1937","Claire Trevor","Dead End","Supporting Actress","Lost"
"1195","1937","May Whitty","Night Must Fall","Supporting Actress","Lost"
"1196","1938","Fay Bainter","Jezebel","Supporting Actress","Won"
"1197","1938","Beulah Bondi","Of Human Hearts","Supporting Actress","Lost"
"1198","1938","Billie Burke","Merrily We Live","Supporting Actress","Lost"
"1199","1938","Spring Byington","You Can't Take It with You","Supporting Actress","Lost"
"1200","1938","Miliza Korjus","The Great Waltz","Supporting Actress","Lost"
"1201","1939","Hattie McDaniel","Gone with the Wind","Supporting Actress","Won"
"1202","1939","Olivia de Havilland","Gone with the Wind","Supporting Actress","Lost"
"1203","1939","Geraldine Fitzgerald","Wuthering Heights","Supporting Actress","Lost"
"1204","1939","Edna May Oliver","Drums Along the Mohawk","Supporting Actress","Lost"
"1205","1939","Maria Ouspenskaya","Love Affair","Supporting Actress","Lost"
"1206","1940","Jane Darwell","The Grapes of Wrath","Supporting Actress","Won"
"1207","1940","Judith Anderson","Rebecca","Supporting Actress","Lost"
"1208","1940","Ruth Hussey","The Philadelphia Story","Supporting Actress","Lost"
"1209","1940","Barbara O'Neil","All This, and Heaven Too","Supporting Actress","Lost"
"1210","1940","Marjorie Rambeau","Primrose Path","Supporting Actress","Lost"
"1211","1941","Mary Astor","The Great Lie","Supporting Actress","Won"
"1212","1941","Sara Allgood","How Green Was My Valley","Supporting Actress","Lost"
"1213","1941","Patricia Collinge","The Little Foxes","Supporting Actress","Lost"
"1214","1941","Teresa Wright","The Little Foxes","Supporting Actress","Lost"
"1215","1941","Margaret Wycherly","Sergeant York","Supporting Actress","Lost"
"1216","1942","Teresa Wright","Mrs. Miniver","Supporting Actress","Won"
"1217","1942","Gladys Cooper","Now, Voyager","Supporting Actress","Lost"
"1218","1942","Agnes Moorehead","The Magnificent Ambersons","Supporting Actress","Lost"
"1219","1942","Susan Peters","Random Harvest","Supporting Actress","Lost"
"1220","1942","May Whitty","Mrs. Miniver","Supporting Actress","Lost"
"1221","1943","Katina Paxinou","For Whom the Bell Tolls","Supporting Actress","Won"
"1222","1943","Gladys Cooper","The Song of Bernadette","Supporting Actress","Lost"
"1223","1943","Paulette Goddard","So Proudly We Hail!","Supporting Actress","Lost"
"1224","1943","Anne Revere","The Song of Bernadette","Supporting Actress","Lost"
"1225","1943","Lucile Watson","Watch on the Rhine","Supporting Actress","Lost"
"1226","1944","Ethel Barrymore","None but the Lonely Heart","Supporting Actress","Won"
"1227","1944","Jennifer Jones","Since You Went Away","Supporting Actress","Lost"
"1228","1944","Angela Lansbury","Gaslight","Supporting Actress","Lost"
"1229","1944","Aline MacMahon","Dragon Seed","Supporting Actress","Lost"
"1230","1944","Agnes Moorehead","Mrs. Parkington","Supporting Actress","Lost"
"1231","1945","Anne Revere","National Velvet","Supporting Actress","Won"
"1232","1945","Eve Arden","Mildred Pierce","Supporting Actress","Lost"
"1233","1945","Ann Blyth","Mildred Pierce","Supporting Actress","Lost"
"1234","1945","Angela Lansbury","The Picture of Dorian Gray","Supporting Actress","Lost"
"1235","1945","Joan Lorring","The Corn is Green","Supporting Actress","Lost"
"1236","1946","Anne Baxter","The Razor's Edge","Supporting Actress","Won"
"1237","1946","Ethel Barrymore","The Spiral Staircase","Supporting Actress","Lost"
"1238","1946","Lillian Gish","Duel in the Sun","Supporting Actress","Lost"
"1239","1946","Flora Robson","Saratoga Trunk","Supporting Actress","Lost"
"1240","1946","Gale Sondergaard","Anna and the King of Siam","Supporting Actress","Lost"
"1241","1947","Celeste Holm","Gentleman's Agreement","Supporting Actress","Won"
"1242","1947","Ethel Barrymore","The Paradine Case","Supporting Actress","Lost"
"1243","1947","Gloria Grahame","Crossfire","Supporting Actress","Lost"
"1244","1947","Marjorie Main","The Egg and I","Supporting Actress","Lost"
"1245","1947","Anne Revere","Gentleman's Agreement","Supporting Actress","Lost"
"1246","1948","Claire Trevor","Key Largo","Supporting Actress","Won"
"1247","1948","Barbara Bel Geddes","I Remember Mama","Supporting Actress","Lost"
"1248","1948","Ellen Corby","I Remember Mama","Supporting Actress","Lost"
"1249","1948","Agnes Moorehead","Johnny Belinda","Supporting Actress","Lost"
"1250","1948","Jean Simmons","Hamlet","Supporting Actress","Lost"
"1251","1949","Mercedes McCambridge","All the King's Men","Supporting Actress","Won"
"1252","1949","Ethel Barrymore","Pinky","Supporting Actress","Lost"
"1253","1949","Celeste Holm","Come to the Stable","Supporting Actress","Lost"
"1254","1949","Elsa Lanchester","Come to the Stable","Supporting Actress","Lost"
"1255","1949","Ethel Waters","Pinky","Supporting Actress","Lost"
"1256","1950","Josephine Hull","Harvey","Supporting Actress","Won"
"1257","1950","Hope Emerson","Caged","Supporting Actress","Lost"
"1258","1950","Celeste Holm","All About Eve","Supporting Actress","Lost"
"1259","1950","Nancy Olson","Sunset Boulevard","Supporting Actress","Lost"
"1260","1950","Thelma Ritter","All About Eve","Supporting Actress","Lost"
"1261","1951","Kim Hunter","A Streetcar Named Desire","Supporting Actress","Won"
"1262","1951","Joan Blondell","The Blue Veil","Supporting Actress","Lost"
"1263","1951","Mildred Dunnock","Death of a Salesman","Supporting Actress","Lost"
"1264","1951","Lee Grant","Detective Story","Supporting Actress","Lost"
"1265","1951","Thelma Ritter","The Mating Season","Supporting Actress","Lost"
"1266","1952","Gloria Grahame","The Bad and the Beautiful","Supporting Actress","Won"
"1267","1952","Jean Hagen","Singin' in the Rain","Supporting Actress","Lost"
"1268","1952","Colette Marchand","Moulin Rouge","Supporting Actress","Lost"
"1269","1952","Terry Moore","Come Back, Little Sheba","Supporting Actress","Lost"
"1270","1952","Thelma Ritter","With a Song in My Heart","Supporting Actress","Lost"
"1271","1953","Donna Reed","From Here to Eternity","Supporting Actress","Won"
"1272","1953","Grace Kelly","Mogambo","Supporting Actress","Lost"
"1273","1953","Geraldine Page","Hondo","Supporting Actress","Lost"
"1274","1953","Marjorie Rambeau","Torch Song","Supporting Actress","Lost"
"1275","1953","Thelma Ritter","Pickup on South Street","Supporting Actress","Lost"
"1276","1954","Eva Marie Saint","On the Waterfront","Supporting Actress","Won"
"1277","1954","Nina Foch","Executive Suite","Supporting Actress","Lost"
"1278","1954","Katy Jurado","Broken Lance","Supporting Actress","Lost"
"1279","1954","Jan Sterling","The High and the Mighty","Supporting Actress","Lost"
"1280","1954","Claire Trevor","The High and the Mighty","Supporting Actress","Lost"
"1281","1955","Jo Van Fleet","East of Eden","Supporting Actress","Won"
"1282","1955","Betsy Blair","Marty","Supporting Actress","Lost"
"1283","1955","Peggy Lee","Pete Kelly's Blues","Supporting Actress","Lost"
"1284","1955","Marisa Pavan","The Rose Tattoo","Supporting Actress","Lost"
"1285","1955","Natalie Wood","Rebel Without a Cause","Supporting Actress","Lost"
"1286","1956","Dorothy Malone","Written on the Wind","Supporting Actress","Won"
"1287","1956","Mildred Dunnock","Baby Doll","Supporting Actress","Lost"
"1288","1956","Eileen Heckart","The Bad Seed","Supporting Actress","Lost"
"1289","1956","Mercedes McCambridge","Giant","Supporting Actress","Lost"
"1290","1956","Patty McCormack","The Bad Seed","Supporting Actress","Lost"
"1291","1957","Miyoshi Umeki","Sayonara","Supporting Actress","Won"
"1292","1957","Carolyn Jones","The Bachelor Party","Supporting Actress","Lost"
"1293","1957","Elsa Lanchester","Witness for the Prosecution","Supporting Actress","Lost"
"1294","1957","Hope Lange","Peyton Place","Supporting Actress","Lost"
"1295","1957","Diane Varsi","Peyton Place","Supporting Actress","Lost"
"1296","1958","Wendy Hiller","Separate Tables","Supporting Actress","Won"
"1297","1958","Peggy Cass","Auntie Mame","Supporting Actress","Lost"
"1298","1958","Martha Hyer","Some Came Running","Supporting Actress","Lost"
"1299","1958","Maureen Stapleton","Lonelyhearts","Supporting Actress","Lost"
"1300","1958","Cara Williams","The Defiant Ones","Supporting Actress","Lost"
"1301","1959","Shelley Winters","The Diary of Anne Frank","Supporting Actress","Won"
"1302","1959","Hermione Baddeley","Room at the Top","Supporting Actress","Lost"
"1303","1959","Susan Kohner","Imitation of Life","Supporting Actress","Lost"
"1304","1959","Juanita Moore","Imitation of Life","Supporting Actress","Lost"
"1305","1959","Thelma Ritter","Pillow Talk","Supporting Actress","Lost"
"1306","1960","Shirley Jones","Elmer Gantry","Supporting Actress","Won"
"1307","1960","Glynis Johns","The Sundowners","Supporting Actress","Lost"
"1308","1960","Shirley Knight","The Dark at the Top of the Stairs","Supporting Actress","Lost"
"1309","1960","Janet Leigh","Psycho","Supporting Actress","Lost"
"1310","1960","Mary Ure","Sons and Lovers","Supporting Actress","Lost"
"1311","1961","Rita Moreno","West Side Story","Supporting Actress","Won"
"1312","1961","Fay Bainter","The Children's Hour","Supporting Actress","Lost"
"1313","1961","Judy Garland","Judgment at Nuremberg","Supporting Actress","Lost"
"1314","1961","Lotte Lenya","The Roman Spring of Mrs. Stone","Supporting Actress","Lost"
"1315","1961","Una Merkel","Summer and Smoke","Supporting Actress","Lost"
"1316","1962","Patty Duke","The Miracle Worker","Supporting Actress","Won"
"1317","1962","Mary Badham","To Kill a Mockingbird","Supporting Actress","Lost"
"1318","1962","Shirley Knight","Sweet Bird of Youth","Supporting Actress","Lost"
"1319","1962","Angela Lansbury","The Manchurian Candidate","Supporting Actress","Lost"
"1320","1962","Thelma Ritter","Birdman of Alcatraz","Supporting Actress","Lost"
"1321","1963","Margaret Rutherford","The V.I.P.s","Supporting Actress","Won"
"1322","1963","Diane Cilento","Tom Jones","Supporting Actress","Lost"
"1323","1963","Edith Evans","Tom Jones","Supporting Actress","Lost"
"1324","1963","Joyce Redman","Tom Jones","Supporting Actress","Lost"
"1325","1963","Lilia Skala","Lilies of the Field","Supporting Actress","Lost"
"1326","1964","Lila Kedrova","Zorba the Greek","Supporting Actress","Won"
"1327","1964","Gladys Cooper","My Fair Lady","Supporting Actress","Lost"
